,base1,pop_minus,pop_plus,distpair,ust,distpair_ust,reversible,county25,county50,county75,county100
FL congress,-0.02,-0.01,-0.03,*-0.36,*-0.34,*-0.38,*-0.38,*11.04,*38.47,*52.56,*54.06
FL upper,-0.01,*-0.13,*0.21,*-3.19,*-2.2,*-4.14,*-2.62,*15.79,*41.2,*61.12,*64.9
FL lower,-0.04,*-0.07,*0.07,*-2.44,*-1.41,*-3.92,*-2.29,*10.61,*33.64,*61.39,*65.54
IL congress,0.0,0.0,0.0,0.0,0.0,0.0,0.0,*0.01,*22.95,*67.99,*76.42
IL upper,-0.0,0.01,0.01,*-2.31,*-2.2,*-3.48,*-1.94,*13.5,*37.37,*67.84,*76.43
IL lower,-0.01,0.04,-0.02,*-2.01,*-1.67,*-3.87,*-0.91,*10.22,*26.91,*63.7,*74.52
MI congress,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,*9.37,*47.36,*51.95
MI upper,0.0,0.0,0.0,0.0,0.0,0.0,0.0,*3.56,*31.91,*63.87,*69.87
MI lower,0.0,-0.03,0.01,*-2.4,*-1.64,*-4.17,*-2.91,*12.98,*29.73,*65.63,*75.24
NC congress,0.07,0.04,0.05,*-1.17,*-1.17,*-1.91,*-1.2,*9.3,*23.07,*48.67,*52.32
NC upper,0.0,0.0,0.0,0.0,0.0,0.0,0.0,*0.66,*33.64,*62.96,*66.63
NC lower,-0.01,*0.08,-0.03,*-2.45,*-1.38,*-3.98,*-1.76,*13.76,*36.37,*67.2,*73.14
NY congress,0.0,0.0,0.0,0.0,0.0,0.0,0.0,*1.59,*31.72,*54.66,*58.87
NY upper,0.01,-0.01,0.01,*-2.85,*-2.07,*-5.11,*-3.15,*11.04,*38.62,*66.7,*71.47
NY lower,*0.04,0.0,-0.01,*-2.02,*-1.27,*-3.38,*-2.65,*8.05,*28.88,*63.35,*75.0
OH congress,-0.0,0.0,-0.0,*-0.16,*-0.17,*-0.19,*-0.16,*5.94,*21.53,*47.28,*52.62
OH upper,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,*17.64,*52.03,*57.1
OH lower,-0.01,0.04,-0.05,*-2.22,*-1.79,*-2.83,*-2.69,*13.56,*35.99,*73.55,*81.47
WI congress,0.01,0.04,-0.06,*-1.76,*-2.46,*-4.47,*-2.54,*8.24,*21.18,*46.62,*52.86
WI upper,0.0,0.0,0.0,0.0,0.0,0.0,0.0,*0.02,*31.66,*65.88,*70.96
WI lower,-0.02,*0.05,-0.0,*-2.53,*-1.74,*-4.46,*-2.1,*12.5,*35.8,*69.47,*78.67
AVERAGE,0.0,0.0,0.01,-1.33,-1.02,-2.2,-1.3,7.73,29.89,60.47,66.67
